account_id,account_age_days,timestamp,amount,merchant_category,merchant_name,location_city,location_country,device_type,is_fraud,transaction_id
ACC00000,187,2026-05-26 18:02:39.646191,267.53,utilities,Tata Power,London,GB,mobile_app,0,1eace04d-bf2d-4a0e-828e-270e7fdc8780
ACC00000,187,2026-05-31 13:46:58.237096,115.71,entertainment,Spotify,London,GB,mobile_app,0,5208cfb6-6ef3-4a39-8a05-ea9680560363
ACC00000,187,2026-06-05 20:51:19.810141,213.59,electronics,Croma,London,GB,mobile_app,0,bddd55b2-22d0-4c9d-9b07-3053a618fa01
ACC00000,187,2026-06-06 17:47:20.315011,85.15,entertainment,BookMyShow,London,GB,mobile_app,0,19b560d9-bb45-44f0-828d-4e9e44940547
ACC00000,187,2026-06-12 22:25:20.930576,218.43,fashion,Myntra,London,GB,mobile_app,0,8cf9d5e9-bd51-4a8f-86fb-8e4b17089c44
ACC00000,187,2026-06-13 19:49:44.837835,226.9,electronics,Croma,London,GB,mobile_app,0,786f35f3-e9e4-43f7-bc2b-a2c3e250c364
ACC00000,187,2026-06-16 13:54:02.007650,258.48,utilities,Airtel,London,GB,mobile_app,0,fe5bb7a8-7b68-4a33-9e4e-e2edfe128f93
ACC00000,187,2026-06-17 19:49:07.392458,296.09,electronics,Reliance Digital,London,GB,mobile_app,0,df50e4e2-406e-40be-9bd8-09c356b66f62
ACC00000,187,2026-06-17 23:48:28.335392,280.5,entertainment,Spotify,London,GB,mobile_app,0,306b8614-1912-4550-b47d-68cc5653c560
ACC00000,187,2026-06-21 17:06:53.494079,247.27,entertainment,Spotify,London,GB,mobile_app,0,f97da0db-3707-4855-bc99-a282ef94ba31
ACC00000,187,2026-06-21 19:38:48.500533,232.75,entertainment,Spotify,London,GB,mobile_app,0,9e4c4575-683f-492c-ba85-a02b660bbb7f
ACC00000,187,2026-06-21 23:31:01.009015,124.95,utilities,Tata Power,London,GB,mobile_app,0,77a2b115-0a88-4e8d-94db-ca946e3a0647
ACC00000,187,2026-06-25 19:28:32.992789,215.81,electronics,Reliance Digital,London,GB,mobile_app,0,9c67ab59-498e-4e57-8ab0-e280fb9db3a6
ACC00000,187,2026-06-27 20:36:53.779477,158.97,fashion,H&M,London,GB,mobile_app,0,4936272e-5972-4efd-82ef-c048ff9a0461
ACC00000,187,2026-06-28 16:51:16.569155,225.03,utilities,MSEB,London,GB,mobile_app,0,28fa5170-a8f1-47af-a44b-bf6920b0fbb8
ACC00000,187,2026-06-29 22:40:01.352286,223.0,electronics,Reliance Digital,London,GB,mobile_app,0,88bea768-81f0-4545-9b7d-a52614cba3bf
ACC00000,187,2026-06-30 19:32:12.041882,217.88,utilities,Airtel,London,GB,mobile_app,0,fb299151-64a3-438a-8885-537162b9a03f
ACC00000,187,2026-07-07 20:41:27.898810,206.14,fashion,Ajio,London,GB,mobile_app,0,a55bf8d7-d191-4d09-9615-8a11ed1c7e1c
ACC00000,187,2026-07-09 23:18:52.365909,291.13,fashion,Myntra,London,GB,mobile_app,0,f1d4d525-1a29-4628-9f55-2ee8536fa6df
ACC00000,187,2026-07-10 20:58:41.478137,239.47,fashion,Myntra,London,GB,mobile_app,0,4145fccd-3d61-4977-8964-75ca56c23964
ACC00000,187,2026-07-20 22:08:04.319462,255.88,entertainment,BookMyShow,London,GB,mobile_app,0,7a76d8e4-546b-476f-a405-591d5511b85a
ACC00000,187,2026-07-23 20:27:06.161486,206.87,electronics,Amazon Electronics,London,GB,mobile_app,0,2eae97f5-e559-4b9f-95cd-a1b106326ace
ACC00000,187,2026-08-01 18:58:11.247281,238.32,utilities,Airtel,London,GB,mobile_app,0,3fd94217-11c2-4e8f-817b-06eca5fdc520
ACC00000,187,2026-08-03 19:26:33.843086,255.51,utilities,MSEB,London,GB,mobile_app,0,a9a6f0ee-d572-4fdf-9e22-fe94ccb9e5e1
ACC00000,187,2026-08-09 19:22:11.689798,243.03,fashion,H&M,London,GB,mobile_app,0,3ac9b86e-34f8-476d-bbdb-e61bff6f8765
ACC00000,187,2026-08-15 21:07:28.813006,344.69,utilities,Airtel,London,GB,mobile_app,0,c2b2d128-755a-4169-9d0e-172dee4b1727
ACC00000,187,2026-08-24 17:53:40.731296,302.15,electronics,Croma,London,GB,mobile_app,0,93f2bbda-f098-4205-8ca7-305f3ccfc289
ACC00000,187,2026-08-29 21:26:08.314130,196.65,utilities,Airtel,London,GB,mobile_app,0,5fffc285-2e24-4390-83b1-1b1ca5b9b9bd
ACC00000,187,2026-08-30 18:21:53.397172,213.76,fashion,H&M,London,GB,mobile_app,0,142edaf3-b085-497c-92c4-77e29573a7e8
ACC00000,187,2026-08-30 22:46:50.072682,302.56,entertainment,Spotify,London,GB,mobile_app,0,6d8f9144-176b-4d50-a4e0-5e7105d9e277
ACC00000,187,2026-09-02 18:05:36.436559,151.63,electronics,Croma,London,GB,mobile_app,0,7d49ed8e-eb35-4603-82e2-aa3a964e2e6d
ACC00000,187,2026-09-04 17:34:38.279089,309.79,utilities,MSEB,London,GB,mobile_app,0,b5b0dc23-43fa-401f-b7e9-3fb33dec405b
ACC00000,187,2026-09-08 16:30:21.436406,269.44,electronics,Amazon Electronics,London,GB,mobile_app,0,df35c369-01f0-4e63-9edf-8b51653013f6
ACC00000,187,2026-09-08 18:07:21.836591,288.43,utilities,MSEB,London,GB,mobile_app,0,6dc2b481-48b9-4e5e-9b77-d67de688f3c7
ACC00000,187,2026-09-14 11:19:33.985530,255.11,fashion,Zara,London,GB,mobile_app,0,96521fb4-f0e7-4ef1-990a-755629b76374
ACC00000,187,2026-09-14 14:05:44.661149,238.79,fashion,H&M,London,GB,mobile_app,0,2635cd1a-b094-4a30-bfe3-5bc98ab82497
ACC00000,187,2026-09-19 20:12:03.505557,322.36,electronics,Croma,London,GB,mobile_app,0,6b552dc5-d0c5-47aa-be23-c5abeb539113
ACC00001,365,2026-05-27 07:12:16.003071,25.89,entertainment,Spotify,New York,US,mobile_app,0,1e315789-8a52-4f97-8087-504a7f684182
ACC00001,365,2026-05-27 14:41:54.605908,27.54,groceries,Zepto,New York,US,mobile_app,0,25fdeb78-3ada-41b0-932f-5e5bc97e2ece
ACC00001,365,2026-06-02 10:53:23.339561,14.53,groceries,Zepto,New York,US,mobile_app,0,658a2d6a-40c4-425b-8ced-58a98b57b669
ACC00001,365,2026-06-08 10:49:29.734440,24.6,entertainment,Netflix,New York,US,mobile_app,0,a61f4cf3-2622-451d-a1b8-f19f10f2da8c
ACC00001,365,2026-06-09 08:27:18.607771,22.42,groceries,Zepto,New York,US,mobile_app,0,77302644-39b7-447b-9562-0dc5784d1a1b
ACC00001,365,2026-06-09 08:30:56.147903,15.88,fashion,Zara,New York,US,mobile_app,0,b9b11579-ed38-4720-927a-62c2cc61aece
ACC00001,365,2026-06-09 08:57:41.193016,25.78,entertainment,BookMyShow,New York,US,mobile_app,0,4a59146c-7193-45be-9a9c-219c66492024
ACC00001,365,2026-06-15 10:12:01.816268,16.5,fashion,Ajio,New York,US,mobile_app,0,422c40f2-8855-470a-9f43-a1d268fb63c1
ACC00001,365,2026-06-17 11:21:14.608556,13.81,fashion,Myntra,New York,US,mobile_app,0,b0e389ac-6ef4-419c-a23f-3fd4dd9995fb
ACC00001,365,2026-06-18 10:54:08.040094,27.58,entertainment,Spotify,New York,US,mobile_app,0,69d3c8de-0033-4417-b510-35ff197d2cfa
ACC00001,365,2026-06-21 08:47:38.660741,12.01,fashion,Zara,New York,US,mobile_app,0,642924a0-044d-4197-9bd8-e75627c1ce48
